"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"design";"pub";"race";"mode";"lab";"partner";"struct";"race.1";"id";"nnew";"effest.exp";"effestnew.exp";"vr.o";"vr.c"
"Apfelbaum et al. exp 1";"Apfelbaum";"Sommers";"Norton";"";"";NA;NA;2008;101;0.26;"b";"p";"majW";"f2f";"l";"confP";1;"n";28;101;0.26;0.252184165;0.0086936976;0.00876850853567771
"Apfelbaum et al. exp 2";"Apfelbaum";"Sommers";"Norton";"";"";NA;NA;2008;47;0;"b";"p";"majW";"f2f";"l";"confP";1;"n";28;47;0;0;0.0217391304347826;0.0217391304347826
"Avery et al. exp 1";"Avery";"Richeson";"Hebl";"Ambady";"";NA;NA;2009;46;0.19;"b";"p";"majW";"vid";"l";"confP";0;"n";28;16;0.19;0.249109031;0.020646738;0.0586493495175998
"Avery et al. exp 2";"Avery";"Richeson";"Hebl";"Ambady";"";NA;NA;2009;56;0.12;"b";"p";"majW";"f2f";"l";"NaiveP";0;"n";28;19;0.12;0.313011076;0.017661952;0.0452026342325985
"Babbit & Sommers";"Babbit";"Sommers";"";"";"";NA;NA;2011;176;0.02;"b";"u";"majW";"f2f";"l";"NaiveP";1;"y";28;172;0.02;-0.017762505;0.0057097152;0.00584426366302137
"Bishop";"Bishop";"";"";"";"";NA;NA;1979;63;0;"b";"p";"majW";"f2f";"l";"ConfP";0;"n";28;63;0;0;0.0161290322580645;0.0161290322580645
"Colliver et al exp 2";"Colliver";"Swartz";"Robbs";"";"";NA;NA;2001;1248;0.07;"m";"p";"majW";"f2f";"f";"ConfO";1;"n";28;1248;0.07;0.07;0.000794085012028869;0.000794085012028869
"Colliver et al. exp 1";"Colliver";"Swartz";"Robbs";"";"";NA;NA;2001;114;0.05;"m";"p";"minB";"f2f";"f";"ConfO";1;"n";28;114;0.05;-0.014037388;0.00880536504424779;0.00884607028587869
"Conley et al.";"Conley";"Hardin";"Rabinowitz";"";"";NA;NA;2010;61;0.01;"b";"u";"all";"f2f";"l";"NaiveP";1;"n";28;61;0.01;0.01;0.0166633335;0.0166633335
"Dovidio et al. ";"Dovidio";"Kawakami";"Johnson";"Johnson";"Howard";NA;NA;1997;33;0.16;"w";"p";"majW";"f2f";"l";"ConfP";0;"n";28;33;0.16;0.315260553;0.02967048;0.0253468682423937
"Feldman & Donohoe exp 1";"Feldman";"Donohoe";"";"";"";NA;NA;1978;36;0.61;"b";"p";"majW";"f2f";"l";"ConfP";1;"n";28;36;0.61;0.48403746;0.011264526;0.0167516668281924
"Feldman & Donohoe exp 2";"Feldman";"Donohoe";"";"";"";NA;NA;1978;20;0.06;"b";"p";"minB";"f2f";"l";"ConfO";1;"n";28;20;0.06;0.06;0.0522533136842105;0.0522533136842105
"Feldman & Donohoe exp 3";"Feldman";"Donohoe";"";"";"";NA;NA;1978;20;0.49;"b";"p";"majW";"f2f";"l";"ConfO";1;"n";28;20;0.49;0.371348207;0.0303920005263158;0.0391166993626466
"Grossman (1996)";"Grossman";"";"";"";"";NA;NA;1996;120;0;"b";"u";"majW";"vid";"l";"ConfP";1;"n";28;120;0;0;0.00840336134453781;0.00840336134453781
"Heider & Skowronski (2007)";"Heider";"Skowronksi";"";"";"";NA;NA;2007;55;0.45;"w";"p";"majW";"f2f";"l";"ConfP";0;"n";28;55;0.45;0.45;0.0117778935185185;0.0117778935185185
"Heider & Skowronski (2010)";"Heider";"Skowronksi";"";"";"";NA;NA;2007;74;0.18;"w";"u";"majW";"f2f";"l";"ConfP";1;"n";28;74;0.18;0.18;0.0128253391780822;0.0128253391780822
"Hofmann et al. exp 1";"Hofmann";"Gschwendner";"Castelli";"Schmitt";"";NA;NA;2008;86;-0.04;"w";"p";"majW";"f2f";"l";"ConfO";0;"n";28;86;-0.04;-0.04;0.0117270889411765;0.0117270889411765
"Hofmann et al. exp 2";"Hofmann";"Gschwendner";"Castelli";"Schmitt";"";NA;NA;2008;77;0.01;"w";"p";"majW";"f2f";"l";"ConfO";0;"n";28;77;0.01;0.01;0.0131552632894737;0.0131552632894737
"Holloway";"Holloway";"Waldrip";"Ickes";"";"";NA;NA;2009;63;-0.06;"b";"p";"all";"f2f";"l";"NaiveP";0;"n";28;63;-0.06;-0.147139451;0.0160131122580645;0.015438204632258
"Littleford et al (2005); Sayoc-Parial (2001)";"Littleford";"Wright";"Sayoc-Parial";"";"";NA;NA;2001;123;-0.13;"b";"p";"majW";"f2f";"l";"NaiveP";1;"y";28;123;-0.13;-0.13;0.00792201319672131;0.00792201319672131
"Mallet et al. exp 1";"Mallett";"Wilson";"Gilbert";"";"";NA;NA;2008;63;-0.12;"b";"p";"majW";"f2f";"l";"NaiveP";0;"y";28;62;-0.12;-0.113508213;0.0156678606451613;0.015973733960122
"Mallet et al. exp 2";"Mallett";"Wilson";"Gilbert";"";"";NA;NA;2008;81;-0.11;"b";"p";"majW";"f2f";"l";"ConfP";0;"y";28;81;-0.11;-0.10533432;0.012199330125;0.0122241558520415
"Mendes et al. exp 1";"Mendes";"Major";"McCoy";"Blascovich";"";NA;NA;2008;60;0.28;"b";"p";"minB";"aud";"l";"ConfP";1;"y";28;60;0.28;0.28;0.0143957044067797;0.0143957044067797
