study;a1;a2;a3;a4;a5;a6;yop;n;r;pub;setting;sample;design;type;z;zexp;nnew;znew;znewexp;vz;newvz
Bolanovich & Goodmann;Bolanovich;Goodman;NA;NA;NA;NA;1944;66;0.1;journal;civilian;trainees;predictive;construct;0.100335348;0.100335348;66;0.100335348;0.100335348;0.015873016;
Clark exp 1;Clark;;NA;NA;NA;NA;1961;547;0.3;book;military;trainees;concurrent;vocation;0.309519604;0.309519604;547;0.309519604;0.309519604;0.001838235;
Clark exp 2;Clark;;NA;NA;NA;NA;1961;547;0.24;book;military;trainees;concurrent;vocation;0.244774113;0.244774113;547;0.244774113;0.244774113;0.001838235;
Clark exp 3;Clark;;NA;NA;NA;NA;1961;461;0.31;book;military;trainees;concurrent;vocation;0.320545409;0.320545409;461;0.320545409;0.320545409;0.002183406;
DuBois & Watson ;DuBois;Watson;NA;NA;NA;NA;1950;129;0.02;journal;civilian;employees;predictive;vocation;0.020002667;0.020002667;129;0.050041729;0.050041729;0.007936508;
Johnson & Hogan;Johnson;Hogan;NA;NA;NA;NA;1981;50;-0.17;journal;civilian;trainees;concurrent;construct;-0.171666664;-0.171666664;50;-0.171666664;-0.171666664;0.021276596;
Lau & Abrahams exp 1;Lau;Abrahams;NA;NA;NA;NA;1969;239;0.31;technical;military;trainees;predictive;basic;0.320545409;0.320545409;239;0.320545409;0.320545409;0.004237288;
Lau & Abrahams exp 2;Lau;Abrahams;NA;NA;NA;NA;1969;97;0.15;technical;military;trainees;predictive;basic;0.151140436;0.151140436;97;0.151140436;0.151140436;0.010638298;
Lau & Abrahams exp 3;Lau;Abrahams;NA;NA;NA;NA;1969;93;0.14;technical;military;trainees;predictive;basic;0.140925576;0.140925576;93;0.140925576;0.140925576;0.011111111;
Lau & Abrahams exp 4;Lau;Abrahams;NA;NA;NA;NA;1969;77;0.23;technical;military;trainees;predictive;basic;0.234189467;0.234189467;77;0.234189467;0.234189467;0.013513514;
Lau & Abrahams exp 5;Lau;Abrahams;NA;NA;NA;NA;1969;94;0.21;technical;military;trainees;predictive;basic;0.213171347;0.213171347;94;0.213171347;0.213171347;0.010989011;
Lau & Abrahams exp 6;Lau;Abrahams;NA;NA;NA;NA;1969;73;0.14;technical;military;trainees;predictive;basic;0.140925576;0.140925576;73;0.140925576;0.140925576;0.014285714;
Lau & Abrahams exp 7;Lau;Abrahams;NA;NA;NA;NA;1969;168;0.06;technical;military;trainees;predictive;basic;0.060072156;0.060072156;168;0.060072156;0.060072156;0.006060606;
McCullah exp 1;McCullah;;NA;NA;NA;NA;1969;108;0.34;dissertation;military;trainees;predictive;vocation;0.354092529;0.354092529;108;0.354092529;0.354092529;0.00952381;
McCullah exp 2;McCullah;;NA;NA;NA;NA;1969;76;0.23;dissertation;military;trainees;predictive;vocation;0.234189467;0.234189467;76;0.234189467;0.234189467;0.01369863;
Spaulding;Spaulding;;NA;NA;NA;NA;1980;266;0.2;thesis;civilian;trainees;predictive;vocation;0.202732554;0.202732554;266;0.202732554;0.202732554;0.003802281;
Spies 1965;Spies;;NA;NA;NA;NA;1965;444;0.22;dissertation;military;trainees;predictive;basic;0.223656109;0.223656109;444;0.223656109;0.223656109;0.002267574;
