"study";"nc";"nt";"n";"r";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"vr.o";"vr.c"
"Bolanovich & Goodmann";NA;NA;66;0.1;0;"r";NA;NA;66;0.1;0.1;0;0;0.0150784615384615;0.0150784615384615
"DuBois & Watson ";NA;NA;129;0.02;0;"o";NA;NA;129;0.02;0.05;1;3;0.00780625125;0.007773486328125
"Johnson & Hogan";NA;NA;50;-0.17;0;"o";NA;NA;50;-0.17;-0.17;0;0;0.0192456165306122;0.0192456165306122
"Lau & Abrahams exp 1";NA;NA;239;0.31;1;"r";NA;NA;239;0.31;0.31;0;0;0.00343292105042017;0.00343292105042017
"Lau & Abrahams exp 2";NA;NA;97;0.15;1;"r";NA;NA;97;0.15;0.15;0;0;0.00995319010416667;0.00995319010416667
"Lau & Abrahams exp 3";NA;NA;93;0.14;1;"r";NA;NA;93;0.14;0.14;0;0;0.0104476539130435;0.0104476539130435
"Lau & Abrahams exp 4";NA;NA;77;0.23;1;"r";NA;NA;77;0.23;0.23;0;0;0.0118026106578947;0.0118026106578947
"Lau & Abrahams exp 5";NA;NA;94;0.21;1;"r";NA;NA;94;0.21;0.21;0;0;0.00982521301075269;0.00982521301075269
"Lau & Abrahams exp 6";NA;NA;73;0.14;1;"r";NA;NA;73;0.14;0.14;0;0;0.01334978;0.01334978
"Lau & Abrahams exp 7";NA;NA;168;0.06;1;"o";NA;NA;168;0.06;0.06;0;0;0.00594498778443114;0.00594498778443114
