study;n1;n2;d;pub;type;n;r;z;zexp;nnew;znew;znewexp;disc;disccat;info;ndisc;vz;newvz
Ayduk et al. (2002);88;100;0.44;0;Random;188;0.214443805;0.217824741;0.217824741;138;0.215021122;0.215021122;-0.002803619;0;0;50;0.005405405;
Beauregard et al. (2001);5;5;1.83;0;Random;10;0.675056185;0.819974849;0.819974849;10;0.819974849;0.819974849;0;0;3;0;0.142857143;
Dillon et al. (2007);18.5;18.5;0.45;0;Random;37;0.219512195;0.223143551;0.223143551;37;0.766659025;0.766659025;0.543515474;3;3;0;0.029411765;
Dillon et al. (2007);18;18;0.56;0;Random;36;0.269629926;0.276464691;0.276464691;36;0.767423034;0.767423034;0.490958343;3;3;0;0.03030303;
Goldin et al. (2008);8.5;8.5;1.24;0;Random;17;0.526939669;0.585898932;0.585898932;8.5;0.589511694;0.589511694;0.003612762;0;0;8.5;0.071428571;
Gross (1998a);40;40;0.51;0;Random;80;0.247092907;0.252314305;0.252314305;60;0.280332604;0.280332604;0.028018299;1;1;20;0.012987013;
Koenigsberg et al. (2009);8;8;1.74;0;Random;16;0.656365478;0.786401177;0.786401177;16;1.156728205;1.156728205;0.370327028;3;1;0;0.076923077;
Kross & Ayduk (2008);48;45;-0.15;0;Outlier;93;-0.074751243;-0.074890942;-0.074890942;93;-0.074890942;-0.074890942;0;0;2;0;0.011111111;
Le´vesque et al. (2004);7;7;0.79;0;Random;14;0.367378285;0.385388944;0.385388944;14;0.384821687;0.384821687;-0.000567258;0;0;0;0.090909091;
Le´vesque et al. (2003);10;10;1.83;0;Outlier;20;0.675056185;0.819974849;0.819974849;20;1.023668576;1.023668576;0.203693727;3;1;0;0.058823529;
Ray et al. (2008);55;61;0.64;0;Random;116;0.304405584;0.314367985;0.314367985;116;0.315332268;0.315332268;0.000964283;0;0;0;0.008849558;
Richards & Gross (2000);22;41;0.63;0;Random;63;0.287640596;0.295992131;0.295992131;42.5;0.116286758;0.116286758;-0.179705373;3;1;20.5;0.016666667;
Rohrmann et al. (2009);48;24;0.24;0;Random;72;0.112419885;0.112897106;0.112897106;60;-0.036791915;-0.036791915;-0.14968902;3;1;12;0.014492754;
Schmeichel et al. (2008);35;36;0.48;0;Random;71;0.233351064;0.2377306;0.2377306;71;0.2377306;0.2377306;0;0;2;0;0.014705882;
Sheppes & Meiran (2008);23;22;0;0;Random;55;0;0;0;45;0;0;0;0;0;10;0.019230769;
Sheppes & Meiran (2007);30;30;1.33;0;Outlier;60;0.55373903;0.623757833;0.623757833;60;0.623757833;0.623757833;0;0;2;0;0.01754386;
Sheppes & Meiran (2007);40;20;1.75;0;Outlier;60;0.636363636;0.752038698;0.752038698;60;0.752038698;0.752038698;0;0;2;0;0.01754386;
Urry (2001);20;20;1.64;1;Outlier;40;0.634079588;0.748209563;0.748209563;40;0.765512306;0.765512306;0.017302743;0;3;0;0.027027027;
Vohs & Schmeichel (2003);17;16;-0.15;0;Random;33;-0.074755794;-0.074895518;-0.074895518;33;-0.067086831;-0.067086831;0.007808688;0;0;0;0.033333333;
Winters et al. (2009);24.5;24.5;0.67;0;Random;49;0.317649723;0.329030893;0.329030893;49;0.326749678;0.326749678;-0.002281215;0;0;0;0.02173913;
