"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"g";"id";"nnew";"effest.exp";"effestnew.exp";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Andrews et al. (2000)";"Andrews";"Foster";"Capaldi";"Hops";"";"";NA;2000;135;-0.97;31;135;0.97;0.974421402;0.975511363636364;0.979957887238636;0.0296296067093853;0.0296296064999616;0.0292957546500022;0.0292957544429382
"Bélanger et al. (1993)";"Belanger";"Sabourin";"Laughrea";"Dulude";"";"";NA;1993;40;-0.15;31;40;0.15;0.317735769;0.153040540540541;0.324176358912162;0.0999999268081565;0.0999996715938545;0.0960658917067612;0.0960656465326867
"Berns et al. (1999)";"Berns";"Jacobson";"Gottman";"";"";"";NA;1999;44;-0.69;31;44;0.69;0.69;0.702621951219512;0.702621951219512;0.090908037207405;0.090908037207405;0.0876712169217385;0.0876712169217385
"Birchler et al. (1984)";"Birchler";"Glopton";"Adams";"";"";"";NA;1984;56;-0.65;31;56;0.65;0.65;0.659198113207547;0.659198113207547;0.0714282179462968;0.0714282179462968;0.0694487793916358;0.0694487793916358
"Bradbury et al. (1992)";"Bradbury";"Fincham";"";"";"";"";NA;1992;38;-0.51;31;38;0.51;0.51;0.520928571428571;0.520928571428571;0.105262116758264;0.105262116758264;0.100891852338108;0.100891852338108
"Campbell et al. (2008)";"Campbell";"Butzer";"Wong";"";"";"";NA;2008;76;-0.41;31;76;0.41;0.404096613;0.414212328767123;0.408248290530822;0.0526315378057548;0.05263153898198;0.0515665089281227;0.0515665100805463
"Carstensen et al. (1995)";"Carstensen";"Gottman";"Levenson";"";"";"";NA;1995;156;-0.62;31;156;0.62;0.62;0.623039215686275;0.623039215686275;0.0256410203975136;0.0256410203975136;0.0253914742382612;0.0253914742382612
"Christensen et al. (1990)";"Christensen";"Heavy";"";"";"";"";NA;1990;31;-0.92;31;31;0.92;0.92;0.944642857142857;0.944642857142857;0.129024528545231;0.129024528545231;0.122380618984604;0.122380618984604
"Clements et al. (2004)";"Clements";"Stanley";"Markman";"";"";"";NA;2004;100;-0.42;31;100;0.42;0.42;0.423247422680412;0.423247422680412;0.0399999856689347;0.0399999856689347;0.0393885299189834;0.0393885299189834
"Daigen et al. (2000)";"Daigen";"Holmes";"";"";"";"";NA;2000;78;-0.43;31;78;0.43;0.414749045;0.4343;0.41889653545;0.0512820105167281;0.0512820133571209;0.0502715523151927;0.0502715550996186
"Du Rocher Schudlich et al. (2004)";"Du Rocher Schudlich";"Papp";"Cummings";"";"";"";NA;2004;267;-0.58;31;267;0.58;0.58;0.581647727272727;0.581647727272727;0.0149812728756841;0.0149812728756841;0.0148965133689281;0.0148965133689281
"Escudero et al. (1997)";"Escudero";"Rogers";"Gutierrez";"";"";"";NA;1997;30;-1.12;31;30;1.12;1.12;1.15111111111111;1.15111111111111;0.133320247637082;0.133320247637082;0.126211132898216;0.126211132898216
"Geist et al. (1996)";"Geist";"Gilbert";"";"";"";"";NA;1996;56;-0.26;31;56;0.26;0.26;0.263679245283019;0.263679245283019;0.0714285148711724;0.0714285148711724;0.069449068088047;0.069449068088047
"Gill et al. (1999)";"Gill";"Christensen";"Fincham";"";"";"";NA;1999;30;-0.45;31;30;0.45;0.45;0.4625;0.4625;0.133331220712487;0.133331220712487;0.126221520849805;0.126221520849805
