"study";"nc";"nt";"n";"g";"pub";"type";"ncnew";"ntnew";"nnew";"effest.exp";"effestnew.exp";"disccat.eff";"info";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Andrews et al. (2000)";NA;NA;135;-0.97;0;"o";NA;NA;135;0.97;0.974421402;0;0;0.975511363636364;0.979957887238636;0.0296296067093853;0.0296296064999616;0.0292957546500022;0.0292957544429382
"Bélanger et al. (1993)";NA;NA;40;-0.15;0;"r";NA;NA;40;0.15;0.317735769;2;1;0.153040540540541;0.324176358912162;0.0999999268081565;0.0999996715938545;0.0960658917067612;0.0960656465326867
"Campbell et al. (2008)";NA;NA;76;-0.41;0;"r";NA;NA;76;0.41;0.404096613;0;0;0.414212328767123;0.408248290530822;0.0526315378057548;0.05263153898198;0.0515665089281227;0.0515665100805463
"Daigen et al. (2000)";NA;NA;78;-0.43;0;"r";NA;NA;78;0.43;0.414749045;0;3;0.4343;0.41889653545;0.0512820105167281;0.0512820133571209;0.0502715523151927;0.0502715550996186
"Gordis et al. (2001)";NA;NA;89;-1.13;0;"o";NA;NA;89;1.13;1.340165251;2;1;1.13985465116279;1.35185273865407;0.0449436545610366;0.044943587208324;0.0441698901754422;0.0441698239822956
"Heavey et al. (1993)";NA;NA;29;-0.66;0;"r";NA;NA;29;0.66;0.501919337;2;1;0.679038461538462;0.516397779413462;0.137925819290514;0.137928018302934;0.130300083976435;0.130302161408379
"Heavey et al. (1995)";NA;NA;48;-1.01;0;"r";NA;NA;48;1.01;1.026185743;0;0;1.02683333333333;1.04328883871667;0.0833317443597642;0.0833316930245463;0.0806219510064905;0.0806219013405984
"Johnson (2002)";NA;NA;172;-0.29;0;"o";NA;NA;172;0.29;0.278972309;0;0;0.291286982248521;0.28021035179142;0.0232558131779231;0.0232558132357857;0.0230507665973191;0.0230507666546715
"Katz";NA;NA;56;-0.51;0;"r";NA;NA;56;0.51;0.505573713;0;0;0.517216981132075;0.512728057995283;0.0714283538169394;0.0714283575778367;0.0694489114969935;0.0694489151536678
"Noller";NA;NA;48;-1.14;0;"r";NA;NA;48;1.14;2.201391685;3;1;1.159;2.23808154641667;0.0833313090031089;0.0833257852356612;0.080621529806824;0.080616185662021
"Ofarrell";NA;NA;52;-0.52;0;"r";26;26;52;0.52;0.520775816;0;3;0.527959183673469;0.528746874408163;0.0769227719401079;0.0769227710293917;0.0746209743908282;0.0746209735073637
"Pasch et al. (1998)";NA;NA;55;-0.75;0;"r";NA;NA;55;0.75;0.665915972;1;1;0.760817307692308;0.675520529288462;0.0727267666731416;0.0727268737814239;0.0706734088036387;0.0706735128878399
"Wampler";NA;NA;136;-0.63;0;"r";NA;NA;136;0.63;0.625443962;0;0;0.633552631578947;0.628970901635338;0.0294117553194703;0.0294117554547408;0.0290828286751254;0.0290828288088831
